date,store_id,day_of_week,is_open,has_promo,is_state_holiday,is_school_holiday,future,year,calender_week,christmas,easter,public_holiday,is_state_holiday_bool,was_open_last_day,last_promo_since_days,next_promo_in_days,state_holidays_in_last_7_days,state_holidays_in_next_7_days,school_holidays_in_last_7_days,school_holidays_in_next_7_days,last_state_holiday_since_days,last_school_holiday_since_days,next_state_holiday_in_days,next_school_holiday_in_days,cosinus_day,sinus_day,sales,will_be_open_next_day_False,will_be_open_next_day_True,will_be_open_next_day_False,will_be_open_next_day_True
2013-01-02,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2013.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,1.0,0.0,1.0,7.0,1.0,1.0,86.0,1.0,0.9994074007397048,0.034421611622745735,4928.5,0,0,0,1
2013-01-03,1.0,4.0,1.0,0.0,0.0,1.0,0.0,2013.0,1.0,0.0,0.0,0.0,0.0,1.0,1000.0,4.0,1.0,0.0,2.0,7.0,2.0,1.0,85.0,1.0,0.998666816288476,0.051619667223253764,4327.0,0,0,0,1
2013-01-04,1.0,5.0,1.0,0.0,0.0,1.0,0.0,2013.0,1.0,0.0,0.0,0.0,0.0,1.0,1000.0,3.0,1.0,0.0,3.0,7.0,3.0,1.0,84.0,1.0,0.9976303053065856,0.06880242680231986,4741.5,0,0,0,1
2013-01-05,1.0,6.0,1.0,0.0,0.0,1.0,0.0,2013.0,1.0,0.0,0.0,0.0,0.0,1.0,1000.0,2.0,1.0,0.0,4.0,6.0,4.0,1.0,83.0,1.0,0.9962981749346078,0.08596479873744647,4741.5,0,0,1,0
2013-01-07,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2013.0,2.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,1.0,0.0,6.0,4.0,6.0,1.0,81.0,1.0,0.9927487224577402,0.1202080448993527,5288.5,0,0,0,1
2013-01-08,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2013.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,3.0,7.0,1.0,80.0,1.0,0.9905324521322229,0.13727877211326478,5580.0,0,0,0,1
2013-01-09,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2013.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,8.0,1.0,79.0,1.0,0.9880226656636976,0.15430882066428114,5471.0,0,0,0,1
2013-01-10,1.0,4.0,1.0,1.0,0.0,1.0,0.0,2013.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,9.0,1.0,78.0,1.0,0.9852201067560606,0.1712931441814776,4892.0,0,0,0,1
2013-01-11,1.0,5.0,1.0,1.0,0.0,1.0,0.0,2013.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,7.0,0.0,10.0,1.0,77.0,73.0,0.9821256058680006,0.1882267098432442,4881.0,0,0,0,1
2013-01-12,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2013.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,7.0,0.0,11.0,1.0,76.0,72.0,0.9787400799669153,0.2051044998686192,4952.0,0,0,1,0
